url1,url2,url3
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Lobsterita,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Malibu,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Mango,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Manhattan,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Maple-Glazed,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Merlot,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Michelob¬,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Miller,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Mojito,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Moscato,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Mozzarella,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Mudslide,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,New,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,NEW!,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,NY,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,O'Doul's,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Parmesan-Crusted,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Parrot,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Perfect,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Pinot,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Red,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Riesling,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Roasted,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Rock,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Rum,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Sailor's,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Salmon,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Sam,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Sauvignon,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Scotch,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Seafood,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Seaside,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Seasonal,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Shock,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Shrimp,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Signature,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Snow,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Stella,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Strawberry,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Sunset,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Sweet,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Tequila,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Top,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Top-Shelf,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Triple,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Ultimate,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Vodka,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Walt,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Warm,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,White,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Wild,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Wood-Grilled,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Old,&wordsMode=AllWords
